,Images,Original Age,Original Gender,Y-Axis Flip Age,Y-Axis Flip Gender,Age Difference,Gender Difference
0,1628188590507_2_2_3.jpg,66,Male,72,Male,0.9166666666666666,0
1,1628188590507_2_0_1.jpg,21,Female,22,Female,0.9545454545454546,0
2,1628188590507_2_0_0.jpg,20,Female,20,Female,1.0,0
3,1628188590507_2_2_2.jpg,31,Male,31,Male,1.0,0
4,1628188590507_2_2_0.jpg,19,Female,17,Male,1.1176470588235294,-2
5,1628188590507_2_0_2.jpg,42,Female,36,Female,1.1666666666666667,0
6,1628188590507_2_0_3.jpg,78,Female,82,Female,0.9512195121951219,0
7,1628188590507_2_2_1.jpg,20,Male,19,Male,1.0526315789473684,0
8,1628188590507_2_2_4.jpg,79,Male,80,Male,0.9875,0
9,1628188590507_2_0_4.jpg,79,Female,80,Female,0.9875,0
10,1628188590507_0_2_4.jpg,84,Male,83,Male,1.0120481927710843,0
11,1628188590507_0_0_4.jpg,83,Female,89,Female,0.9325842696629213,0
12,1628188590507_0_2_3.jpg,55,Male,55,Male,1.0,0
13,1628188590507_0_0_1.jpg,24,Female,21,Female,1.1428571428571428,0
14,1628188590507_0_0_0.jpg,22,Female,19,Female,1.1578947368421053,0
15,1628188590507_0_2_2.jpg,28,Male,25,Male,1.12,0
16,1628188590507_0_2_0.jpg,15,Female,20,Male,0.75,-2
17,1628188590507_0_0_2.jpg,36,Female,39,Female,0.9230769230769231,0
18,1628188590507_0_0_3.jpg,80,Female,77,Female,1.0389610389610389,0
19,1628188590507_0_2_1.jpg,20,Male,21,Male,0.9523809523809523,0
20,1628188704081_0_2_4.jpg,87,Male,82,Male,1.0609756097560976,0
21,1628188654074_2_2_4.jpg,72,Male,72,Male,1.0,0
22,1628188536814_2_2_4.jpg,78,Male,80,Male,0.975,0
23,1628188755886_0_2_4.jpg,86,Male,78,Male,1.1025641025641026,0
24,1628188755886_0_0_4.jpg,85,Female,84,Female,1.0119047619047619,0
25,1628188536814_2_0_4.jpg,81,Female,79,Female,1.0253164556962024,0
